timestamp,value
2018-10-25 22:57:39,0.53
2018-10-25 22:58:09,1.4
2018-10-25 22:58:39,1.93
2018-10-25 22:59:09,0.57
2018-10-25 22:59:39,0.52
2018-10-25 23:00:09,0.78
2018-10-25 23:00:39,0.52
2018-10-25 23:01:09,0.44
2018-10-25 23:01:39,0.54
2018-10-25 23:02:09,0.54
2018-10-25 23:02:39,0.5
2018-10-25 23:03:09,0.59
2018-10-25 23:03:39,0.47
2018-10-25 23:04:09,0.62
2018-10-25 23:04:39,2.32
2018-10-25 23:05:09,0.63
2018-10-25 23:05:39,0.52
2018-10-25 23:06:09,0.47
2018-10-25 23:06:39,0.48
2018-10-25 23:07:10,0.44
2018-10-25 23:07:40,0.53
2018-10-25 23:08:10,0.45
2018-10-25 23:08:40,0.46
2018-10-25 23:09:10,2.56
2018-10-25 23:09:40,0.44
2018-10-25 23:10:10,0.67
2018-10-25 23:10:40,0.5
2018-10-25 23:11:10,0.54
2018-10-25 23:11:40,0.53
2018-10-25 23:12:10,0.6
2018-10-25 23:12:40,0.59
2018-10-25 23:13:10,0.54
2018-10-25 23:13:40,2.43
2018-10-25 23:14:10,0.99
2018-10-25 23:14:40,0.44
2018-10-25 23:15:10,0.57
2018-10-25 23:15:40,0.47
2018-10-25 23:16:10,0.58
2018-10-25 23:16:40,0.57
2018-10-25 23:17:10,0.51
2018-10-25 23:17:40,0.49
2018-10-25 23:18:10,2.59
2018-10-25 23:18:40,0.51
2018-10-25 23:19:10,0.52
2018-10-25 23:19:40,0.55
2018-10-25 23:20:10,0.47
2018-10-25 23:20:40,0.52
2018-10-25 23:21:10,0.43
2018-10-25 23:21:40,0.55
2018-10-25 23:22:10,0.55
2018-10-25 23:22:40,2.55
2018-10-25 23:23:10,0.64
2018-10-25 23:23:40,0.54
2018-10-25 23:24:10,0.54
2018-10-25 23:24:40,0.48
2018-10-25 23:25:10,0.62
2018-10-25 23:25:40,0.6
2018-10-25 23:26:10,0.58
2018-10-25 23:26:40,0.5
2018-10-25 23:27:10,2.4
2018-10-25 23:27:40,0.38
2018-10-25 23:28:10,0.6
2018-10-25 23:28:40,0.47
2018-10-25 23:29:10,0.64
2018-10-25 23:29:40,0.68
2018-10-25 23:30:10,0.68
2018-10-25 23:30:40,0.49
2018-10-25 23:31:10,0.61
2018-10-25 23:31:40,2.57
2018-10-25 23:32:10,0.53
2018-10-25 23:32:40,0.47
2018-10-25 23:33:10,0.48
2018-10-25 23:33:40,0.48
2018-10-25 23:34:10,0.54
2018-10-25 23:34:40,0.57
2018-10-25 23:35:10,0.56
2018-10-25 23:35:40,0.6
2018-10-25 23:36:10,2.65
2018-10-25 23:36:40,0.49
2018-10-25 23:37:10,0.52
2018-10-25 23:37:40,0.55
2018-10-25 23:38:10,0.5
2018-10-25 23:38:40,0.57
2018-10-25 23:39:10,0.49
2018-10-25 23:39:40,0.44
2018-10-25 23:40:10,0.46
2018-10-25 23:40:40,2.41
2018-10-25 23:41:10,0.71
2018-10-25 23:41:40,0.56
2018-10-25 23:42:10,0.58
2018-10-25 23:42:40,0.61
2018-10-25 23:43:10,0.48
2018-10-25 23:43:40,0.56
2018-10-25 23:44:10,0.74
2018-10-25 23:44:40,0.74
2018-10-25 23:45:10,2.67
2018-10-25 23:45:40,0.58
2018-10-25 23:46:10,0.42
2018-10-25 23:46:40,0.57
2018-10-25 23:47:10,0.47
2018-10-25 23:47:40,0.47
2018-10-25 23:48:10,0.64
2018-10-25 23:48:40,0.53
2018-10-25 23:49:10,0.48
2018-10-25 23:49:40,2.62
2018-10-25 23:50:10,0.56
2018-10-25 23:50:40,0.66
2018-10-25 23:51:10,0.57
2018-10-25 23:51:40,0.63
2018-10-25 23:52:10,0.43
2018-10-25 23:52:40,0.53
2018-10-25 23:53:10,0.49
2018-10-25 23:53:40,0.65
2018-10-25 23:54:10,2.66
2018-10-25 23:54:40,0.51
2018-10-25 23:55:10,0.85
2018-10-25 23:55:40,0.44
2018-10-25 23:56:10,0.42
2018-10-25 23:56:40,0.55
2018-10-25 23:57:10,0.5
2018-10-25 23:57:40,0.54
2018-10-25 23:58:10,0.52
2018-10-25 23:58:40,0.49
2018-10-25 23:59:10,0.54
2018-10-25 23:59:40,2.6
2018-10-26 00:00:40,0.53
2018-10-26 00:01:10,0.62
2018-10-26 00:01:40,0.55
2018-10-26 00:02:10,0.51
2018-10-26 00:02:40,0.51
2018-10-26 00:03:10,0.39
2018-10-26 00:03:40,0.43
2018-10-26 00:04:10,0.45
2018-10-26 00:04:40,0.48
2018-10-26 00:05:10,2.55
2018-10-26 00:05:40,0.53
2018-10-26 00:06:10,0.51
2018-10-26 00:06:40,0.56
2018-10-26 00:07:10,0.46
2018-10-26 00:07:40,0.45
2018-10-26 00:08:11,0.4
2018-10-26 00:08:41,0.54
2018-10-26 00:09:11,0.54
2018-10-26 00:09:41,2.52
2018-10-26 00:10:11,0.51
2018-10-26 00:10:41,0.48
2018-10-26 00:11:11,0.47
2018-10-26 00:11:41,0.5
2018-10-26 00:12:11,0.4
2018-10-26 00:12:41,0.52
2018-10-26 00:13:11,0.57
2018-10-26 00:13:41,0.64
2018-10-26 00:14:11,2.47
2018-10-26 00:14:41,0.43
2018-10-26 00:15:11,0.49
2018-10-26 00:15:41,0.55
2018-10-26 00:16:11,0.45
2018-10-26 00:16:41,0.5
2018-10-26 00:17:11,0.49
2018-10-26 00:17:41,0.41
2018-10-26 00:18:11,0.57
2018-10-26 00:18:41,2.69
2018-10-26 00:19:11,0.58
2018-10-26 00:19:41,0.53
2018-10-26 00:20:11,0.49
2018-10-26 00:20:41,0.6
2018-10-26 00:21:11,0.4
2018-10-26 00:21:41,0.5
2018-10-26 00:22:11,0.43
2018-10-26 00:22:41,0.46
2018-10-26 00:23:11,0.36
2018-10-26 00:23:41,0.43
2018-10-26 00:24:11,0.42
2018-10-26 00:24:41,2.46
2018-10-26 00:25:11,0.39
2018-10-26 00:25:41,0.48
2018-10-26 00:26:11,0.33
2018-10-26 00:26:41,0.46
2018-10-26 00:27:11,0.38
2018-10-26 00:27:41,0.54
2018-10-26 00:28:11,0.46
2018-10-26 00:28:41,0.49
2018-10-26 00:29:11,2.54
2018-10-26 00:29:41,1.31
2018-10-26 00:30:11,0.53
2018-10-26 00:30:41,0.6
